brancos ,negros ,pardos
negócios e administração,11044,2634,8155
direito,36772,9802,24277
ciencias sociais,7642,2088,4826
ciencias exatas,5843,1200,3587
ciencias naturais,3622,803,2686
Tecn. da Informação,51769,8311,32462
engenharia e construcao,160269,24846,94731
saúde e bem estar,102448,21025,70743
